,cluster_id,size,avg_intra_cluster_pairwise_distance,avg_intra_cluster_variance,avg_silhouette_score,avg_inter_centroid_distance,model,task
1133,M.Black.Name.Third Person,200,0.501577487422772,0.3537624048064143,-0.09137325083494531,0.25190961508463855,Llama-3.1-8B-Instruct,bio
1134,M.Black.Structured.Direct,200,0.45572912007225086,0.321724202956699,0.014956732464759193,0.29905326863787746,Llama-3.1-8B-Instruct,bio
1135,M.Black.Structured.Interview,124,0.5284673289351823,0.3740852538007018,-0.1116363899335144,0.27555901548376993,Llama-3.1-8B-Instruct,bio
1136,M.Black.Structured.Third Person,200,0.4774392017266194,0.33770767657551476,-0.026452697300660608,0.2964219616194107,Llama-3.1-8B-Instruct,bio
1137,M.Hispanic.Explicit.Direct,200,0.4664879420188999,0.3301645275727202,-0.03482689706459152,0.3367077424040758,Llama-3.1-8B-Instruct,bio
1138,M.Hispanic.Explicit.Interview,149,0.4677651071138557,0.3337541323239187,-0.006850383672785181,0.2829525030889568,Llama-3.1-8B-Instruct,bio
1139,M.Hispanic.Explicit.Third Person,200,0.46538236873405053,0.3296490917904979,-0.04486083899849027,0.32923129812796276,Llama-3.1-8B-Instruct,bio
1140,M.Hispanic.Name.Direct,200,0.4035578777756659,0.28396368549451045,0.04343507805200847,0.2992921043756289,Llama-3.1-8B-Instruct,bio
1141,M.Hispanic.Name.Interview,183,0.4449606235692582,0.31544689851574176,-0.04813701346541414,0.3480247520429718,Llama-3.1-8B-Instruct,bio
1142,M.Hispanic.Name.Third Person,200,0.4568641679474026,0.32224712503524316,-0.06615818993289242,0.27424217609892454,Llama-3.1-8B-Instruct,bio
1143,M.Hispanic.Structured.Direct,200,0.41325373601034604,0.29189525121888854,0.018428764791701767,0.3127342112697504,Llama-3.1-8B-Instruct,bio
1144,M.Hispanic.Structured.Interview,145,0.4908079681779131,0.3472391892347299,-0.05884228694653801,0.2662197346652606,Llama-3.1-8B-Instruct,bio
1145,M.Hispanic.Structured.Third Person,200,0.4406524658416446,0.3110684353226571,-0.03683464086789007,0.3097209210180772,Llama-3.1-8B-Instruct,bio
1146,M.Middle-Eastern.Explicit.Direct,200,0.46631173770232937,0.3304620841935017,-0.005370259044121068,0.33700793710549765,Llama-3.1-8B-Instruct,bio
1147,M.Middle-Eastern.Explicit.Interview,155,0.48749145697118385,0.34694003214350944,-0.03702924035912827,0.3071192680273203,Llama-3.1-8B-Instruct,bio
1148,M.Middle-Eastern.Explicit.Third Person,200,0.46735672539061074,0.3305124864058383,-0.006810590651806482,0.33752799062490857,Llama-3.1-8B-Instruct,bio
1149,M.Middle-Eastern.Name.Direct,200,0.4458008687323465,0.3152686633960005,-0.042111181452551744,0.2755395332685166,Llama-3.1-8B-Instruct,bio
1150,M.Middle-Eastern.Name.Interview,178,0.4386184888521107,0.3114149944989258,-0.017089089297299166,0.35520039352705485,Llama-3.1-8B-Instruct,bio
1151,M.Middle-Eastern.Name.Third Person,200,0.46617488188297773,0.3291469779846814,-0.06949919944292005,0.26577180245409204,Llama-3.1-8B-Instruct,bio
1152,M.Middle-Eastern.Structured.Direct,200,0.4535257245336525,0.3206705164345615,-0.004950227120822768,0.30313506742423335,Llama-3.1-8B-Instruct,bio
1153,M.Middle-Eastern.Structured.Interview,170,0.5030773034930547,0.35842927450446765,-0.05172961402740017,0.3072738160317446,Llama-3.1-8B-Instruct,bio
1154,M.Middle-Eastern.Structured.Third Person,200,0.47629844892291057,0.33809420412419344,-0.03903539548371698,0.30014298979865695,Llama-3.1-8B-Instruct,bio
1155,M.White.Explicit.Direct,200,0.5139761886206633,0.36377933587378647,-0.07963067410535701,0.2786562644632462,Llama-3.1-8B-Instruct,bio
1156,M.White.Explicit.Interview,154,0.5332478079437292,0.3791273722162604,-0.11648465128316828,0.2807922287400459,Llama-3.1-8B-Instruct,bio
1157,M.White.Explicit.Third Person,200,0.4646696515110646,0.3277729891934051,-0.04503558904209088,0.3035918451712682,Llama-3.1-8B-Instruct,bio
1158,M.White.Name.Direct,200,0.47417675655431935,0.33501575235486397,-0.06729343357394532,0.268205149385754,Llama-3.1-8B-Instruct,bio
1159,M.White.Name.Interview,179,0.4840872242879228,0.34409522757993977,-0.09018040621266717,0.33026571287285866,Llama-3.1-8B-Instruct,bio
1160,M.White.Name.Third Person,200,0.4854687947106876,0.3432237646530734,-0.07228391894796835,0.2630858556547067,Llama-3.1-8B-Instruct,bio
1161,M.White.Structured.Direct,200,0.43188748766923,0.30395058454299084,-0.0023662587258151666,0.3064435611789733,Llama-3.1-8B-Instruct,bio
1162,M.White.Structured.Interview,115,0.47573273712699415,0.33752291056591804,-0.048246728281516826,0.31389203451665304,Llama-3.1-8B-Instruct,bio
1163,M.White.Structured.Third Person,200,0.44083037590580954,0.3109547201835998,-0.009662795640762875,0.3190661550048894,Llama-3.1-8B-Instruct,bio
1164,N.Asian.Explicit.Direct,200,0.41979535129221424,0.29676688468277773,-0.03369763858405235,0.30095313020228703,Llama-3.1-8B-Instruct,bio
1165,N.Asian.Explicit.Interview,176,0.4087396377684267,0.2887813108994346,-0.03031321788986564,0.3112768908086459,Llama-3.1-8B-Instruct,bio
1166,N.Asian.Explicit.Third Person,200,0.4155034348348877,0.29372044412524173,-0.028419799696053554,0.3009532470014277,Llama-3.1-8B-Instruct,bio
1167,N.Asian.Name.Direct,197,0.4908844670138265,0.34784089021728165,-0.05808207202449168,0.24680062649988652,Llama-3.1-8B-Instruct,bio
1168,N.Asian.Name.Interview,178,0.5180925325421414,0.3683037423465706,-0.08064518094065061,0.2786226516083782,Llama-3.1-8B-Instruct,bio
1169,N.Asian.Name.Third Person,200,0.45719229515378046,0.3237535766351433,-0.059071552306023484,0.264686402516795,Llama-3.1-8B-Instruct,bio
1170,N.Asian.Structured.Direct,200,0.41398842789958323,0.2924755362880156,-0.031994140428033245,0.3102019973126306,Llama-3.1-8B-Instruct,bio
1171,N.Asian.Structured.Interview,172,0.45039141637675223,0.3192248921464734,-0.06719587096781694,0.2868646069095116,Llama-3.1-8B-Instruct,bio
1172,N.Asian.Structured.Third Person,200,0.40894908510720646,0.2891158358775831,-0.014302987409010051,0.313172396238484,Llama-3.1-8B-Instruct,bio
1173,N.Black.Explicit.Direct,200,0.42355689197187146,0.29944942226512633,-0.04598368636002629,0.3016175723140962,Llama-3.1-8B-Instruct,bio
1174,N.Black.Explicit.Interview,164,0.4045828227245536,0.2863705105382779,-0.03308022760066717,0.30966221899327895,Llama-3.1-8B-Instruct,bio
1175,N.Black.Explicit.Third Person,200,0.4221795619738621,0.29875015608077665,-0.04534594808449169,0.3026918989587835,Llama-3.1-8B-Instruct,bio
1176,N.Black.Name.Direct,199,0.4844487351587446,0.34291703709512855,-0.028059150246494503,0.2624939302068741,Llama-3.1-8B-Instruct,bio
1177,N.Black.Name.Interview,172,0.5112972174599205,0.36199339074350406,-0.056054826256787635,0.27844676903507315,Llama-3.1-8B-Instruct,bio
1178,N.Black.Name.Third Person,200,0.4682090277747699,0.33099939025405845,-0.06177269708499935,0.2609911350555033,Llama-3.1-8B-Instruct,bio
1179,N.Black.Structured.Direct,200,0.4017226874458832,0.28414202037991493,-0.0003207108838375093,0.3121440159019176,Llama-3.1-8B-Instruct,bio
1180,N.Black.Structured.Interview,155,0.43633250350216757,0.3096659298555535,-0.06581932996820851,0.29194576201315914,Llama-3.1-8B-Instruct,bio
1181,N.Black.Structured.Third Person,200,0.41082969476365067,0.29045409101096575,-0.020064486586179785,0.31333518933021864,Llama-3.1-8B-Instruct,bio
1182,N.Hispanic.Explicit.Direct,200,0.38440466838092346,0.2718389191688947,-0.04117103146310986,0.3218326952224396,Llama-3.1-8B-Instruct,bio
1183,N.Hispanic.Explicit.Interview,179,0.38440221468669733,0.2717921393116999,-0.029207835381574385,0.3217272631346844,Llama-3.1-8B-Instruct,bio
