Role Adoption,Demographic Priming,gender,race,prompt_version,model,task,% English,% Non-\nEnglish,is Hispanic
Direct,Explicit,N,Black,v2,Llama-3.1-8B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,N,Black,v2,Llama-3.1-8B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,N,Black,v2,Llama-3.3-70B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,N,Black,v2,Llama-3.3-70B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,N,Black,v2,OLMo-2-0325-32B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,N,Black,v2,OLMo-2-0325-32B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,N,Black,v2,OLMo-2-1124-7B-Instruct,Bio,0.99,0.010000000000000009,Non-Hispanic
Direct,Explicit,N,Black,v2,OLMo-2-1124-7B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,N,Black,v2,gemma-3-27b-it,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,N,Black,v2,gemma-3-27b-it,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,N,Hispanic,v1,Llama-3.1-8B-Instruct,Bio,0.93,0.06999999999999995,Hispanic
Direct,Explicit,N,Hispanic,v1,Llama-3.1-8B-Instruct,SD,1.0,0.0,Hispanic
Direct,Explicit,N,Hispanic,v1,Llama-3.3-70B-Instruct,Bio,0.84,0.16000000000000003,Hispanic
Direct,Explicit,N,Hispanic,v1,Llama-3.3-70B-Instruct,SD,1.0,0.0,Hispanic
